-4	-6.75	3400.720	10	10	hline
-4	-6.75	3400.720	10	10	vline
-4	-6.55	3400.720	10	10	hline
-4	-6.55	3400.720	10	10	vline
-4	-6.35	2550.540	10	10	hline
-4	-6.35	2550.540	10	10	vline
-4.2	-6.75	2550.540	10	10	hline
-4.2	-6.75	2550.540	10	10	vline
-4.2	-6.55	2040.432	10	10	hline
-4.2	-6.55	2040.432	10	10	vline
-4.2	-6.35	2040.432	10	10	hline
-4.2	-6.35	2040.432	10	10	vline
-4.4	-6.75	1700.360	10	10	hline
-4.4	-6.75	1700.360	10	10	vline
-4.4	-6.55	1700.360	10	10	hline
-4.4	-6.55	1700.360	10	10	vline
-4.4	-6.35	1457.451	10	10	hline
-4.4	-6.35	1457.451	10	10	vline
-6	-7.25	3400.720	10	10	hline
-6	-7.25	3400.720	10	10	vline
-6	-7.05	3400.720	10	10	hline
-6	-7.05	3400.720	10	10	vline
-6	-6.85	2550.540	10	10	hline
-6	-6.85	2550.540	10	10	vline
-6.2	-7.25	2550.540	10	10	hline
-6.2	-7.25	2550.540	10	10	vline
-6.2	-7.05	2040.432	10	10	hline
-6.2	-7.05	2040.432	10	10	vline
-6.2	-6.85	2040.432	10	10	hline
-6.2	-6.85	2040.432	10	10	vline
-6.4	-7.25	1700.360	10	10	hline
-6.4	-7.25	1700.360	10	10	vline
-6.4	-7.05	1700.360	10	10	hline
-6.4	-7.05	1700.360	10	10	vline
-6.4	-6.85	1457.451	10	10	hline
-6.4	-6.85	1457.451	10	10	vline
-8	-7.75	3400.720	10	10	hline
-8	-7.75	3400.720	10	10	vline
-8	-7.55	3400.720	10	10	hline
-8	-7.55	3400.720	10	10	vline
-8	-7.35	2550.540	10	10	hline
-8	-7.35	2550.540	10	10	vline
-8.2	-7.75	2550.540	10	10	hline
-8.2	-7.75	2550.540	10	10	vline
-8.2	-7.55	2040.432	10	10	hline
-8.2	-7.55	2040.432	10	10	vline
-8.2	-7.35	2040.432	10	10	hline
-8.2	-7.35	2040.432	10	10	vline
-8.4	-7.75	1700.360	10	10	hline
-8.4	-7.75	1700.360	10	10	vline
-8.4	-7.55	1700.360	10	10	hline
-8.4	-7.55	1700.360	10	10	vline
-8.4	-7.35	1457.451	10	10	hline
-8.4	-7.35	1457.451	10	10	vline
