-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	hline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.2	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	hline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.1	5.4	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	hline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
-4.3	5.2	23588.2	10	10	vline
