============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  40 um) ===============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .1320110E+07   4000018E-01 -.6743E+04  .2468E+03   .9997248 -.0230202  .0045145
T    2  1 .1269633E+07   4000005E-01 -.3733E+04 -.8556E+04   .9994417 -.0218056 -.0253131
T    3  1 .1311185E+07   4000009E-01  .3549E+04  .7764E+04   .9999002  .0118354  .0077143
T    4  1 .1339474E+07   4000016E-01 -.8593E+04 -.8522E+01   .9991784 -.0360702  .0184806
T    5  1 .1305897E+07   4000018E-01  .1547E+04  .4569E+04   .9995187  .0029413  .0308830
T    6  1 .1303659E+07   4000008E-01 -.2674E+04  .2983E+04   .9998769 -.0040974  .0151430
T    7  1 .1308532E+07   4000001E-01  .5993E+04 -.6909E+04   .9986644  .0122142 -.0502016
T    8  1 .1317903E+07   4000022E-01  .8259E+03  .1859E+04   .9997627  .0151859  .0156174
T    9  1 .1293866E+07   4000021E-01 -.3124E+04 -.1439E+04   .9997971 -.0171966 -.0104867
T   10  1 .1350455E+07   4000014E-01  .3467E+04  .2515E+04   .9998292  .0184709 -.0005907
T   11  1 .1330217E+07   4000022E-01  .1474E+04  .1362E+04   .9997090 -.0202757  .0130660
T   12  1 .1341763E+07   4000014E-01 -.2734E+04  .1554E+04   .9999707 -.0053872  .0054414
T   13  1 .1271653E+07   4000020E-01  .1737E+03  .2494E+04   .9998707  .0087685 -.0134814
T   14  1 .1282486E+07   4000017E-01  .6237E+03 -.6565E+03   .9999896  .0024663 -.0038413
T   15  1 .1337399E+07   4000015E-01  .1821E+04 -.6838E+03   .9994631  .0200177 -.0259385
T   16  1 .1333486E+07   4000009E-01  .8482E+04  .3263E+04   .9956278  .0722522  .0592026
T   17  1 .1329751E+07   4000010E-01 -.7986E+03  .1272E+04   .9999536 -.0068497  .0067774
T   18  1 .1301966E+07   4000012E-01  .2584E+04 -.4800E+04   .9998720  .0035558 -.0155988
T   19  1 .1293599E+07   4000000E-01  .6051E+04 -.8364E+04   .9979329  .0554937 -.0324091
T   20  1 .1301556E+07   4000014E-01  .1138E+05 -.2753E+03   .9997641  .0200971  .0082399
T   21  1 .1242134E+07   4000019E-01 -.1564E+03 -.2124E+04   .9997519  .0095803 -.0201068
T   22  1 .1298566E+07   4000019E-01  .1915E+04 -.6187E+04   .9991298  .0013558 -.0416878
T   23  1 .1315342E+07   4000009E-01  .2032E+04 -.8306E+04   .9994282 -.0033570 -.0336463
T   24  1 .1318277E+07   4000014E-01  .1081E+05 -.1313E+05   .9969173  .0419971 -.0662738
T   25  1 .1354155E+07   4000018E-01 -.1257E+04 -.3334E+04   .9997344  .0004260 -.0230436
T   26  1 .1306152E+07   4000004E-01 -.4430E+02 -.7937E+04   .9997004 -.0059546 -.0237407
T   27  1 .1311329E+07   4000005E-01 -.7670E+03  .2880E+03   .9996744 -.0244710  .0072289
T   28  1 .1303830E+07   4000000E-01 -.8355E+04  .3473E+04   .9973843 -.0654399  .0306959
T   29  1 .1305599E+07   4000000E-01 -.1961E+04  .2161E+04   .9999245 -.0058909  .0107800
T   30  1 .1354241E+07   4000004E-01 -.2365E+04  .2042E+04   .9997100 -.0219987  .0097932
T   31  1 .1305786E+07   4000004E-01 -.6013E+04 -.4225E+04   .9997062 -.0168903 -.0173843
T   32  1 .1293409E+07   4000020E-01 -.1006E+04 -.3784E+03   .9999086 -.0135208 -.0002499
T   33  1 .1270971E+07   4000022E-01 -.2807E+03  .7246E+03   .9997586  .0069633 -.0208382
T   34  1 .1300101E+07   4000007E-01 -.9988E+04 -.6411E+04   .9988747 -.0434901 -.0189177
T   35  1 .1313557E+07   4000009E-01  .3309E+04 -.5850E+04   .9999117  .0024568 -.0130563
T   36  1 .1300341E+07   4000016E-01  .5537E+04  .1474E+04   .9989408 -.0055612 -.0456757
T   37  1 .1301707E+07   4000007E-01 -.2172E+04 -.3180E+02   .9998698 -.0066943 -.0146803
T   38  1 .1331209E+07   4000000E-01 -.1940E+05  .2456E+04   .9977767 -.0665966 -.0025636
T   39  1 .1302006E+07   4000010E-01 -.2631E+03 -.2834E+04   .9999401 -.0109475 -.0001927
T   40  1 .1312629E+07   4000022E-01 -.3242E+04 -.3596E+04   .9997956 -.0148907 -.0136757
T   41  1 .1301869E+07   4000021E-01 -.5848E+04  .5277E+04   .9995935 -.0219753  .0181645
T   42  1 .1330212E+07   4000012E-01 -.4876E+04 -.1110E+04   .9996107 -.0267901 -.0077961
T   43  1 .1316709E+07   4000014E-01 -.2890E+04 -.4814E+03   .9999443 -.0101198  .0030040
T   44  1 .1294166E+07   4000006E-01 -.8989E+04 -.2027E+04   .9986038 -.0521824 -.0082132
T   45  1 .1338871E+07   4000000E-01 -.6889E+04  .5272E+04   .9997491 -.0148462  .0167711
T   46  1 .1307513E+07   4000021E-01 -.1233E+04 -.3319E+04   .9998274 -.0070050 -.0172081
T   47  1 .1281569E+07   4000014E-01  .3248E+04 -.4171E+04   .9992185  .0208828 -.0335601
T   48  1 .1308007E+07   4000015E-01  .3018E+04  .8877E+03   .9997507 -.0111344  .0193513
T   49  1 .1313942E+07   4000007E-01 -.4390E+04 -.1682E+04   .9993860 -.0281550 -.0208526
T   50  1 .1358093E+07   4000020E-01 -.1910E+04 -.1728E+04   .9999323 -.0083776 -.0080777
T   51  1 .1305001E+07   4000006E-01 -.1059E+05  .1631E+05   .9980629 -.0372150  .0498548
T   52  1 .1322524E+07   4000021E-01 -.5149E+04 -.3608E+04   .9995304 -.0197359 -.0234422
T   53  1 .1347659E+07   4000014E-01  .2304E+04  .5370E+03   .9997478  .0164878 -.0152500
T   54  1 .1286826E+07   4000009E-01 -.5397E+04 -.8318E+03   .9995575 -.0287943  .0074595
T   55  1 .1276816E+07   4000006E-01 -.4356E+04 -.4906E+04   .9997572 -.0094762 -.0198957
T   56  1 .1301395E+07   4000002E-01  .1422E+04 -.2088E+04   .9999514  .0085735 -.0048577
T   57  1 .1311696E+07   4000007E-01 -.6377E+04 -.3453E+04   .9996052 -.0271940 -.0070696
T   58  1 .1312114E+07   4000001E-01  .1571E+04 -.1091E+03   .9993857 -.0048128  .0347152
T   59  1 .1325794E+07   4000005E-01 -.5194E+04 -.5992E+04   .9992422 -.0198423 -.0334860
T   60  1 .1303848E+07   4000000E-01  .2901E+04  .3277E+04   .9994529  .0277320  .0180208
T   61  1 .1299405E+07   4000001E-01  .3894E+04  .1022E+05   .9990013  .0194639  .0402186
T   62  1 .1277809E+07   4000017E-01 -.1791E+04 -.1668E+04   .9997108 -.0128667 -.0203186
T   63  1 .1329807E+07   4000008E-01 -.8107E+03  .2842E+04   .9999142  .0124607 -.0040319
T   64  1 .1327201E+07   4000003E-01 -.8496E+03 -.5362E+04   .9997507 -.0057797 -.0215686
T   65  1 .1351036E+07   4000017E-01 -.9235E+03 -.7992E+04   .9994495  .0003418 -.0331736
T   66  1 .1309169E+07   4000016E-01  .5793E+04 -.2108E+04   .9996571  .0246780 -.0087596
T   67  1 .1323528E+07   4000015E-01  .1745E+04 -.1365E+04   .9999674  .0051766 -.0061985
T   68  1 .1279638E+07   4000007E-01  .1464E+04  .1221E+04   .9985779 -.0503642  .0174848
T   69  1 .1314210E+07   4000020E-01  .2869E+04  .1028E+04   .9999694 -.0056316  .0054295
T   70  1 .1306589E+07   4000015E-01  .8550E+04 -.2816E+04   .9994489  .0325582 -.0064662
T   71  1 .1301975E+07   4000000E-01 -.1016E+05  .1900E+05   .9990011 -.0172869  .0412058
T   72  1 .1320170E+07   4000010E-01 -.1827E+04  .1235E+05   .9983588 -.0139416  .0555466
T   73  1 .1314779E+07   4000006E-01  .7060E+04 -.2704E+04   .9995423  .0263354 -.0148898
T   74  1 .1298363E+07   4000010E-01 -.8427E+03  .2331E+04   .9999573 -.0092334  .0002425
T   75  1 .1356524E+07   4000005E-01 -.4668E+04 -.7379E+02   .9996224 -.0117818  .0248259
T   76  1 .1304831E+07   4000014E-01 -.1309E+04  .1916E+03   .9998024 -.0180516 -.0083303
T   77  1 .1307500E+07   4000005E-01  .5225E+03 -.9792E+03   .9998736 -.0155485 -.0033323
T   78  1 .1327201E+07   4000020E-01 -.2430E+04 -.5356E+04   .9994777 -.0246954 -.0208454
T   79  1 .1280402E+07   4000002E-01  .4901E+03  .3476E+04   .9997829  .0078102  .0193192
T   80  1 .1314486E+07   4000013E-01 -.1119E+04 -.1526E+04   .9998780  .0108139 -.0112744
T   81  1 .1326197E+07   4000012E-01  .2678E+04 -.1520E+04   .9999340  .0105528 -.0045382
