============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  20 um) ===============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 .1666347E+07   2000022E-01 -.2780E+04 -.1900E+03   .9995167 -.0304793 -.0061066
T    2  1 .1658400E+07   2000017E-01  .2986E+04 -.8877E+03   .9996373  .0258447 -.0075770
T    3  1 .1673954E+07   2000009E-01 -.9484E+03  .2813E+04   .9993849 -.0070215  .0343597
T    4  1 .1700002E+07   2000014E-01  .3886E+03 -.2668E+03   .9999203  .0121741 -.0033575
T    5  1 .1679174E+07   2000005E-01 -.3533E+04 -.1594E+04   .9994326 -.0294774 -.0162990
T    6  1 .1693540E+07   2000021E-01 -.1198E+04  .3163E+04   .9995536 -.0157752  .0253706
T    7  1 .1681388E+07   2000003E-01 -.3423E+03  .5415E+04   .9988939 -.0219931  .0415598
T    8  1 .1676296E+07   2000021E-01 -.2720E+03  .2664E+04   .9996973 -.0031249  .0244047
T    9  1 .1689032E+07   2000016E-01  .2150E+04  .6511E+03   .9999515  .0097019 -.0017153
T   10  1 .1676165E+07   2000014E-01 -.2659E+04  .4371E+03   .9766690 -.2105015  .0425052
T   11  1 .1684776E+07   2000009E-01  .2309E+03  .9100E+03   .9999671  .0004774  .0081004
T   12  1 .1675695E+07   2000008E-01  .2030E+04  .1385E+04   .9998952  .0083311  .0118428
T   13  1 .1653410E+07   2000018E-01  .1596E+03  .4235E+03   .9999938  .0016597  .0030902
T   14  1 .1684793E+07   2000018E-01 -.6618E+03 -.6521E+03   .9999300 -.0059498 -.0102242
T   15  1 .1692709E+07   2000009E-01 -.9756E+03 -.2118E+03   .9999221 -.0122877  .0022079
T   16  1 .1686033E+07   2000009E-01 -.4614E+03  .1904E+04   .9999566 -.0086142  .0035597
T   17  1 .1688201E+07   2000019E-01 -.9402E+03 -.1190E+04   .9998267 -.0106223 -.0152903
T   18  1 .1669478E+07   2000019E-01  .4142E+03 -.3274E+03   .9999827 -.0009368  .0058048
T   19  1 .1688167E+07   2000008E-01 -.1762E+04  .7293E+04   .9971019 -.0235500  .0723407
T   20  1 .1673370E+07   2000023E-01 -.7502E+03  .7774E+02   .9998998 -.0073609 -.0120925
T   21  1 .1665974E+07   2000001E-01 -.2283E+04 -.4005E+03   .9999060 -.0123783 -.0058953
T   22  1 .1670811E+07   2000016E-01 -.1258E+04  .4274E+02   .9999257 -.0069489  .0100162
T   23  1 .1668718E+07   2000012E-01 -.9691E+03 -.2554E+03   .9999746 -.0060160 -.0038193
T   24  1 .1691266E+07   2000017E-01  .1608E+03  .6741E+03   .9999926 -.0003186 -.0038293
T   25  1 .1680867E+07   2000002E-01 -.9119E+03 -.4761E+03   .9999488 -.0074332 -.0068613
T   26  1 .1692356E+07   2000018E-01 -.4394E+03  .4814E+03   .9999860 -.0003920  .0052809
T   27  1 .1693390E+07   2000000E-01  .5848E+03 -.1124E+04   .9999919  .0031985 -.0024329
T   28  1 .1675904E+07   2000011E-01 -.2274E+04  .1255E+04   .9999827  .0045791  .0036952
T   29  1 .1702533E+07   2000009E-01  .2434E+03 -.1485E+04   .9999157  .0047937 -.0120661
T   30  1 .1697225E+07   2000007E-01  .4081E+03 -.3475E+02   .9999585  .0082422 -.0038755
T   31  1 .1669067E+07   2000015E-01 -.3973E+04 -.1512E+03   .9994712 -.0325180 -.0000289
T   32  1 .1688446E+07   2000009E-01 -.3296E+03 -.6239E+03   .9999555 -.0013151 -.0093423
T   33  1 .1658042E+07   2000020E-01  .2322E+03  .1772E+04   .9998798  .0025888  .0152881
T   34  1 .1688146E+07   2000019E-01 -.7031E+03 -.1280E+04   .9999387 -.0100071 -.0047317
T   35  1 .1679683E+07   2000015E-01 -.2226E+03  .2231E+04   .9999462  .0089171  .0052904
T   36  1 .1687920E+07   2000006E-01 -.1381E+03  .3232E+04   .9997893 -.0117572  .0168244
T   37  1 .1698393E+07   2000017E-01 -.4392E+03  .1326E+03   .9999959 -.0023156  .0016646
T   38  1 .1694111E+07   2000001E-01  .4011E+04  .1013E+03   .9994476  .0332078  .0012907
T   39  1 .1692785E+07   2000019E-01 -.3035E+03  .9130E+02   .9999828 -.0045664  .0036919
T   40  1 .1684330E+07   2000004E-01 -.5466E+03 -.4638E+03   .9999952  .0019198 -.0024151
T   41  1 .1682673E+07   2000019E-01 -.1152E+04  .2140E+04   .9998088 -.0091076  .0173058
T   42  1 .1675515E+07   2000003E-01 -.2475E+02 -.2362E+04   .9995402  .0111003 -.0282153
T   43  1 .1669431E+07   2000022E-01 -.2491E+04  .6438E+03   .9997587 -.0218945  .0017663
T   44  1 .1676037E+07   2000004E-01 -.4757E+03  .4393E+03   .9998206 -.0033535  .0186408
T   45  1 .1691321E+07   2000017E-01  .7060E+03  .6987E+02   .9999764  .0027990  .0062782
T   46  1 .1652035E+07   2000019E-01 -.3065E+03 -.2990E+03   .9999538 -.0070995  .0064784
T   47  1 .1697308E+07   2000017E-01 -.7171E+03 -.6123E+03   .9998595 -.0142014 -.0089047
T   48  1 .1681878E+07   2000013E-01 -.2880E+03 -.1320E+04   .9999487  .0028379 -.0097229
T   49  1 .1663797E+07   2000015E-01  .2562E+03 -.5078E+03   .9999805  .0029201 -.0055149
T   50  1 .1686157E+07   2000022E-01  .6264E+03 -.1954E+04   .9994028  .0065945 -.0339191
T   51  1 .1672184E+07   2000017E-01 -.1509E+03 -.2781E+04   .9999258 -.0033125 -.0117214
T   52  1 .1679477E+07   2000005E-01  .1591E+04  .5502E+03   .9998241  .0166790  .0085836
T   53  1 .1657906E+07   2000018E-01 -.1916E+04  .8527E+02   .9999104 -.0133837 -.0001327
T   54  1 .1670590E+07   2000020E-01 -.8174E+03 -.3288E+03   .9999381 -.0015541 -.0110212
T   55  1 .1677864E+07   2000015E-01  .3766E+04  .3820E+04   .9989158  .0269127  .0379854
T   56  1 .1675782E+07   2000009E-01 -.1657E+04  .3016E+04   .9997228 -.0144103  .0186199
T   57  1 .1691762E+07   2000016E-01 -.8331E+02 -.9444E+02   .9999893  .0033446 -.0031847
T   58  1 .1689114E+07   2000012E-01  .1443E+04 -.1123E+04   .9982990  .0579655  .0062572
T   59  1 .1685802E+07   2000012E-01  .4138E+04  .4596E+03   .9996104  .0259742  .0102167
T   60  1 .1679717E+07   2000022E-01  .1839E+04 -.4955E+03   .9999528  .0080033 -.0055175
T   61  1 .1665370E+07   2000015E-01 -.3746E+03 -.1141E+03   .9999826 -.0020653 -.0055294
T   62  1 .1674284E+07   2000018E-01 -.8374E+03 -.4693E+03   .9999572 -.0086662  .0032348
T   63  1 .1659145E+07   2000021E-01  .1163E+04 -.6843E+03   .9998062  .0166260 -.0105394
T   64  1 .1682181E+07   2000006E-01 -.1899E+04  .1769E+04   .9998252 -.0157066  .0101382
T   65  1 .1700593E+07   2000020E-01  .1273E+04  .1031E+04   .9997414  .0183564  .0134241
T   66  1 .1687065E+07   2000022E-01  .4032E+03 -.6353E+03   .9999969  .0024490 -.0003555
T   67  1 .1674650E+07   2000020E-01 -.1904E+03 -.1586E+03   .9999907 -.0003769 -.0042961
T   68  1 .1653859E+07   2000005E-01 -.1946E+04 -.2498E+04   .9999913 -.0038241 -.0016374
T   69  1 .1683593E+07   2000020E-01 -.1018E+03  .1135E+04   .9999638 -.0020662  .0082546
T   70  1 .1660604E+07   2000000E-01 -.4791E+03  .5916E+03   .9999615 -.0060156 -.0063873
T   71  1 .1679972E+07   2000003E-01 -.1053E+04  .2855E+02   .9999237 -.0112670 -.0050601
T   72  1 .1678894E+07   2000008E-01  .2251E+03  .2078E+03   .9999675 -.0051133  .0062339
T   73  1 .1658365E+07   2000004E-01 -.1174E+04 -.4281E+02   .9999833 -.0057717  .0001013
T   74  1 .1667706E+07   2000013E-01  .2604E+04 -.4388E+02   .9996363  .0266408  .0041861
T   75  1 .1677352E+07   2000021E-01  .3956E+03  .5947E+03   .9998648  .0129343  .0101522
T   76  1 .1685878E+07   2000003E-01  .5847E+03 -.8507E+03   .9998745 -.0148168 -.0056097
T   77  1 .1677369E+07   2000009E-01  .7328E+03  .6093E+03   .9999370  .0032591  .0107392
T   78  1 .1691179E+07   2000014E-01  .1232E+03  .2567E+03   .9999639 -.0084353  .0010207
T   79  1 .1672655E+07   2000018E-01 -.8346E+03 -.1812E+04   .9998900 -.0122972 -.0082897
T   80  1 .1675387E+07   2000020E-01  .4511E+02 -.1378E+04   .9999327  .0024292 -.0113414
T   81  1 .1688167E+07   2000007E-01  .4874E+04 -.4659E+03   .9974421  .0712728 -.0054257
