============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> DLC+Au+Cr+Silicon(  730 A) ==================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  246  1 .1997778E+07   7324760E-04 -.2712E+00 -.1226E+01   .9999964 -.0010301 -.0024638
T  247  1 .1998023E+07   7310209E-04 -.2266E+00 -.7828E+00   .9999982 -.0011089 -.0015193
T  248  1 .1997337E+07   7326673E-04 -.1042E+01 -.2582E+00   .9999966 -.0026177 -.0001925
T  249  1 .1997817E+07   7304652E-04 -.1145E+00  .1071E+01   .9999988 -.0010061  .0012129
T  250  1 .1996894E+07   7318614E-04  .5982E+00  .5448E+00   .9999989  .0010902  .0010044
T  251  1 .1997665E+07   7321006E-04  .3647E+00  .3116E+00   .9999935  .0023231  .0027464
T  252  1 .1998119E+07   7325668E-04  .3468E+01  .1034E+01   .9999833  .0056268  .0013431
T  253  1 .1996244E+07   7316236E-04 -.2695E+00  .5661E+00   .9999989 -.0011795 -.0008891
T  254  1 .1996777E+07   7311872E-04 -.2358E+01 -.4007E+01   .9999611 -.0039829 -.0078695
T  255  1 .1997840E+07   7319667E-04  .1770E+00 -.1240E+01   .9999985  .0005914 -.0016259
T  256  1 .1997965E+07   7307429E-04 -.7505E-01  .2047E+01   .9999901 -.0011887  .0042937
T  257  1 .1996982E+07   7322401E-04  .5416E+01  .3630E+01   .9999377  .0090653  .0065141
T  258  1 .1997250E+07   7302148E-04  .1162E+00  .1959E+00   .9999996  .0008789  .0002906
T  259  1 .1998112E+07   7319465E-04 -.9412E-01  .6320E+00   .9999986 -.0009527  .0014009
T  260  1 .1996261E+07   7311608E-04 -.3030E+00 -.1003E+01   .9999992 -.0001735 -.0012347
T  261  1 .1997119E+07   7300181E-04  .5663E+00  .1179E+01   .9999904  .0022251  .0037793
T  262  1 .1997432E+07   7316550E-04 -.6765E+00  .1492E+01   .9999950 -.0010396  .0029814
T  263  1 .1996880E+07   7309345E-04  .5967E+00 -.3478E+00   .9999948  .0031996 -.0004139
T  264  1 .1996917E+07   7302191E-04 -.6886E+02  .5591E+02   .9888387 -.1165316  .0928357
T  265  1 .1997679E+07   7318215E-04 -.1906E+00 -.1926E+00   .9999999  .0000813 -.0001280
T  266  1 .1997072E+07   7313036E-04  .2573E+01  .2252E+01   .9999889  .0036642  .0029502
T  267  1 .1996497E+07   7319935E-04 -.2563E+01 -.2519E+01   .9999811 -.0042842 -.0044144
T  268  1 .1996494E+07   7325208E-04  .1197E+00  .7534E+00   .9999984 -.0002137  .0017638
T  269  1 .1997012E+07   7318151E-04  .1189E+01 -.1058E+01   .9999981  .0011809 -.0015556
T  270  1 .1997013E+07   7302085E-04 -.1803E+01 -.1885E+01   .9999757 -.0057424 -.0039583
T  271  1 .1997790E+07   7308652E-04 -.8532E+00  .6993E+00   .9999943 -.0014376 -.0030648
T  272  1 .1996801E+07   7311293E-04  .9877E+00 -.5430E-01   .9999988  .0014789 -.0005178
T  273  1 .1996915E+07   7314085E-04 -.4733E+00  .5113E+00   .9999997 -.0003244  .0006314
T  274  1 .1996584E+07   7309750E-04 -.7137E+00 -.1055E+01   .9999984 -.0010649 -.0014397
T  275  1 .1997648E+07   7327086E-04 -.1040E+01  .1006E+00   .9999978 -.0018410  .0009587
T  276  1 .1997609E+07   7312951E-04 -.1498E+00 -.2248E+00   .9999999  .0000743 -.0002710
T  277  1 .1998951E+07   7314835E-04 -.1092E+01 -.1470E+01   .9999911 -.0021153 -.0036427
T  278  1 .1997558E+07   7319299E-04  .1196E+01 -.8634E+01   .9998770  .0026611 -.0154556
T  279  1 .1995973E+07   7326788E-04 -.4293E+00 -.3067E+00   .9999996 -.0003292 -.0008481
T  280  1 .1996939E+07   7315941E-04 -.2807E-01 -.6035E+00   .9999987  .0003358 -.0015957
T  281  1 .1997796E+07   7305823E-04 -.1065E+01 -.1166E+01   .9999974 -.0016932 -.0015375
T  282  1 .1995795E+07   7324500E-04 -.1575E+01 -.1204E+00   .9999945 -.0033069 -.0002536
T  283  1 .1997238E+07   7323711E-04  .1355E+00  .8112E-01   .9999971 -.0005703 -.0023565
T  284  1 .1997590E+07   7326934E-04  .9360E+00 -.1275E+01   .9999914  .0012721 -.0039389
T  285  1 .1998052E+07   7310292E-04  .2725E+00  .1014E+00   .9999996  .0008758 -.0002522
T  286  1 .1997094E+07   7320636E-04  .9748E+00 -.5108E+00   .9999953  .0020855 -.0022259
T  287  1 .1997497E+07   7301953E-04  .2503E+00  .8413E-01   .9999999  .0002028  .0001356
T  288  1 .1997823E+07   7307939E-04 -.3390E+00 -.6597E+00   .9999989 -.0003778 -.0014106
T  289  1 .1997522E+07   7311432E-04 -.2628E+00  .1447E+00   .9999995 -.0008196  .0005125
T  290  1 .1997358E+07   7309047E-04 -.1366E+01  .2591E+00   .9999909 -.0041239  .0010617
T  291  1 .1997605E+07   7316077E-04  .3521E+00 -.6181E-01   .9999995 -.0004914 -.0008991
T  292  1 .1997838E+07   7326368E-04  .3365E+00 -.7261E+00   .9999995  .0005506 -.0008221
T  293  1 .1995990E+07   7315302E-04 -.5734E+00  .5321E+00   .9999973 -.0014564  .0018312
T  294  1 .1997102E+07   7305380E-04 -.1445E+01  .1536E+00   .9999965 -.0026427 -.0002440
T  295  1 .1997894E+07   7315537E-04  .2396E-01  .2154E+01   .9999893  .0007675  .0045539
T  296  1 .1997689E+07   7322281E-04 -.2353E+00  .1093E+01   .9999988 -.0009502  .0012621
T  297  1 .1996330E+07   7318344E-04  .1225E+01 -.6408E+00   .9999944  .0019457 -.0027071
T  298  1 .1997899E+07   7315460E-04  .1500E+01 -.3291E+00   .9999954  .0023474 -.0018957
T  299  1 .1996644E+07   7325077E-04  .2387E+00  .1104E+01   .9999985  .0005445  .0016738
T  300  1 .1997284E+07   7324869E-04 -.1533E+01 -.8621E+00   .9999965 -.0015067 -.0021566
T  301  1 .1997323E+07   7309205E-04 -.1019E+01  .5999E+00   .9999973 -.0022634  .0004277
T  302  1 .1997772E+07   7322171E-04 -.1065E+01  .9503E+00   .9999966 -.0020915  .0015321
T  303  1 .1997867E+07   7323474E-04  .1411E+00 -.2360E+00   .9999996  .0003796 -.0008445
T  304  1 .1997504E+07   7325302E-04 -.1339E+01 -.1410E+01   .9999895 -.0031205 -.0033419
T  305  1 .1996867E+07   7319807E-04 -.2576E+00 -.9621E+00   .9999990 -.0003592 -.0013522
T  306  1 .1997460E+07   7316506E-04 -.1164E+01  .1455E+01   .9999943 -.0012029  .0031559
T  307  1 .1996712E+07   7319361E-04 -.6629E+00  .1994E+01   .9999919 -.0010745  .0038703
T  308  1 .1998161E+07   7315662E-04 -.1464E+01  .1603E+01   .9999924 -.0027601  .0027571
T  309  1 .1996279E+07   7316334E-04  .1289E+00 -.4886E-02   .9999999  .0001914 -.0003342
T  310  1 .1996696E+07   7324688E-04 -.6081E+00  .5450E+00   .9999994 -.0011234  .0001575
T  311  1 .1998315E+07   7315471E-04  .1032E+01  .1118E+00   .9999976  .0021585  .0002525
T  312  1 .1997606E+07   7316351E-04  .3348E+00  .1349E+00   .9999996  .0008505 -.0002697
T  313  1 .1996672E+07   7326443E-04  .1160E+01 -.1377E+01   .9999818  .0046912 -.0038048
T  314  1 .1997899E+07   7322916E-04  .8000E-02 -.6694E+00   .9999996 -.0005275 -.0007781
T  315  1 .1998154E+07   7307286E-04 -.5580E+00  .8405E+00   .9999988 -.0014766  .0003726
T  316  1 .1998270E+07   7309989E-04  .2023E+01 -.3041E+01   .9999779  .0038645 -.0054026
T  317  1 .1996914E+07   7315438E-04 -.1347E+01  .5424E-01   .9999966 -.0024909  .0007867
T  318  1 .1997668E+07   7321685E-04 -.7205E-01  .3414E+00   .9999996 -.0008632 -.0001090
T  319  1 .1997704E+07   7317141E-04  .4892E+00  .1453E+00   .9999995  .0005733  .0008627
T  320  1 .1996813E+07   7318742E-04 -.9812E+00  .3508E+00   .9999976 -.0020473  .0007981
T  321  1 .1997426E+07   7311132E-04 -.7824E+00  .3843E+00   .9999979 -.0019561  .0006098
T  322  1 .1996438E+07   7325448E-04 -.1248E+00 -.1551E+01   .9999960  .0002460 -.0028333
T  323  1 .1996786E+07   7302105E-04  .5047E+01  .1060E+01   .9999657  .0080456  .0019729
T  324  1 .1996892E+07   7312006E-04 -.4732E+01  .5071E+00   .9999730 -.0073024  .0008212
T  325  1 .1998158E+07   7315233E-04 -.3310E+00  .1150E+01   .9999988 -.0007441  .0013570
T  326  1 .1998092E+07   7320389E-04  .2636E+00  .1187E+01   .9999974  .0007063  .0021861
T  327  1 .1996137E+07   7303603E-04 -.3044E+00 -.1157E+01   .9999967 -.0007693 -.0024504
T  328  1 .1997093E+07   7304336E-04  .2674E+00  .1062E+01   .9999944  .0019678  .0026891
T  329  1 .1996041E+07   7319600E-04  .1127E+01 -.6382E+00   .9999999  .0004884 -.0000207
T  330  1 .1998042E+07   7321978E-04 -.7263E-01 -.5228E+00   .9999981  .0003501 -.0019099
T  331  1 .1996401E+07   7307322E-04  .8038E+00 -.4065E+01   .9999513  .0037057 -.0091486
T  332  1 .1996811E+07   7326228E-04  .1501E+01  .1115E+01   .9999963  .0023070  .0014583
T  333  1 .1995194E+07   7309107E-04 -.1233E+01  .1355E+01   .9999684 -.0044277  .0066089
T  334  1 .1998111E+07   7321388E-04  .4478E+01 -.7133E+01   .9998718  .0090374 -.0132158
T  335  1 .1996399E+07   7300032E-04 -.6472E+00  .4033E+00   .9999982 -.0018285  .0005036
T  336  1 .1997117E+07   7315736E-04 -.1960E+01 -.6393E+01   .9999411 -.0050123 -.0096248
T  337  1 .1996889E+07   7324385E-04 -.4855E+00 -.1035E+01   .9999838 -.0037026 -.0043278
T  338  1 .1996053E+07   7322886E-04  .3345E+00 -.3742E+00   .9999876  .0015998 -.0047256
T  339  1 .1998053E+07   7320157E-04  .1053E+01  .3075E+01   .9999859  .0010014  .0052123
T  340  1 .1997254E+07   7318145E-04  .4227E+00 -.4225E+00   .9999997  .0001295 -.0008236
T  341  1 .1997488E+07   7326205E-04  .1651E+00 -.6855E+00   .9999962 -.0000014 -.0027711
T  342  1 .1997080E+07   7325880E-04  .5532E+00 -.1843E+00   .9999984  .0016155 -.0007225
T  343  1 .1996631E+07   7326371E-04  .1413E+01  .3273E+00   .9999938  .0031328  .0016060
T  344  1 .1997735E+07   7321108E-04 -.2150E+00 -.1173E+01   .9999918 -.0012124 -.0038534
T  345  1 .1997042E+07   7326566E-04  .3656E+00 -.1467E+00   .9999998  .0006327 -.0000494
T  346  1 .1997088E+07   7314597E-04 -.4276E+00  .3059E+00   .9999992 -.0012499  .0000953
T  347  1 .1996116E+07   7300210E-04  .7793E+00  .5271E+00   .9999974  .0018101  .0014052
T  348  1 .1997561E+07   7324259E-04  .1278E+01 -.4780E+00   .9999963  .0025984 -.0008069
T  349  1 .1997069E+07   7322864E-04 -.1769E+01  .1370E+01   .9999957 -.0022460  .0019115
T  350  1 .1997257E+07   7320311E-04  .5202E-01  .2001E-01   .9999998  .0005084 -.0004309
T  351  1 .1997217E+07   7308807E-04  .3109E+00 -.1423E+00   .9999999  .0002798  .0002317
T  352  1 .1995667E+07   7310830E-04  .8766E+00  .1794E+01   .9999916  .0020355  .0035479
T  353  1 .1997010E+07   7316740E-04  .3401E-01  .1829E+00   .9999999  .0003669 -.0001672
T  354  1 .1996004E+07   7311910E-04 -.9408E+00  .1102E+00   .9999986 -.0016504 -.0001252
T  355  1 .1997439E+07   7320970E-04 -.1141E+01 -.7400E+00   .9999969 -.0022109 -.0011756
T  356  1 .1996477E+07   7325750E-04 -.7524E+00  .5046E+00   .9999986 -.0013168  .0010613
T  357  1 .1998070E+07   7300870E-04  .4149E-01  .4396E+00   .9999969  .0015668  .0019456
T  358  1 .1997615E+07   7318604E-04 -.1181E+01  .1468E+01   .9999926 -.0027343  .0027013
T  359  1 .1998542E+07   7300156E-04 -.2260E+00 -.2316E+01   .9999903 -.0014457 -.0041625
T  360  1 .1997014E+07   7320031E-04  .1522E+01 -.2140E+01   .9999892  .0030559 -.0034936
T  361  1 .1997019E+07   7314880E-04 -.4723E+00 -.6716E+00   .9999984 -.0004452 -.0017390
T  362  1 .1996922E+07   7319750E-04 -.9412E+00 -.1777E+00   .9999974 -.0022595 -.0000264
T  363  1 .1997857E+07   7313818E-04  .8642E+00  .4348E+00   .9999922  .0034257  .0019445
T  364  1 .1996731E+07   7316518E-04 -.1255E+01 -.5089E+00   .9999979 -.0019553 -.0006803
T  365  1 .1997611E+07   7301933E-04 -.2308E+01 -.1261E+01   .9999870 -.0048810 -.0014469
T  366  1 .1998429E+07   7320639E-04  .4724E+00 -.1617E+01   .9999947  .0010122 -.0030820
T  367  1 .1996966E+07   7322696E-04 -.6196E+00 -.2599E+01   .9999872 -.0005504 -.0050295
T  368  1 .1997112E+07   7305080E-04  .4200E+00  .2235E+00   .9999984  .0017075 -.0005798
T  369  1 .1997671E+07   7316099E-04 -.1652E+01  .1462E+00   .9999928 -.0037857  .0004100
T  370  1 .1997330E+07   7323926E-04 -.1655E+00  .1063E+01   .9999955 -.0007483  .0029031
T  371  1 .1996072E+07   7318614E-04 -.1779E+00  .5558E+00   .9999995 -.0006054  .0007976
T  372  1 .1997137E+07   7317086E-04  .4866E+00 -.2736E+00   .9999983  .0011622 -.0014292
T  373  1 .1996966E+07   7309430E-04 -.3765E+00 -.6649E+00   .9999985 -.0009196 -.0014442
T  374  1 .1998002E+07   7324881E-04 -.1998E+00  .4767E+00   .9999999  .0002445  .0000118
T  375  1 .1998347E+07   7312528E-04 -.5910E+00  .1120E+01   .9999974 -.0016340  .0015704
T  376  1 .1998240E+07   7326516E-04  .7368E+00  .2528E+00   .9999980  .0016187  .0011631
T  377  1 .1996068E+07   7313829E-04 -.3558E+01 -.1692E+01   .9999768 -.0061721 -.0028652
T  378  1 .1996487E+07   7305087E-04 -.2747E+00 -.3389E+00   .9999999 -.0003268  .0001940
T  379  1 .1997431E+07   7307240E-04  .1278E+00  .7158E+00   .9999985  .0011657  .0012643
T  380  1 .1997032E+07   7326188E-04  .2242E+01 -.9490E+00   .9999906  .0039728 -.0017206
T  381  1 .1998701E+07   7326459E-04 -.6567E-01  .1306E+01   .9999963 -.0003277  .0026972
T  382  1 .1996583E+07   7318036E-04 -.2438E+00 -.1025E+00   .9999997  .0001647 -.0007810
T  383  1 .1996382E+07   7301811E-04 -.5261E+00  .2455E+00   .9999987 -.0014183  .0007237
T  384  1 .1996673E+07   7317188E-04  .1157E+01  .9219E+00   .9999977  .0011257  .0018208
T  385  1 .1996925E+07   7325162E-04 -.5689E+00  .1803E-01   .9999979 -.0020208 -.0002767
T  386  1 .1998027E+07   7301125E-04  .4736E+00 -.7314E+00   .9999984  .0004044 -.0017259
T  387  1 .1998453E+07   7321845E-04 -.8587E+00  .1978E+01   .9999938 -.0009256  .0033947
T  388  1 .1997030E+07   7317752E-04 -.1222E+00 -.1347E+00   .9999994 -.0009907 -.0005621
T  389  1 .1997131E+07   7312712E-04 -.1994E+01  .3522E+00   .9999916 -.0040488  .0005762
T  390  1 .1998034E+07   7319726E-04  .1119E+01 -.1896E+00   .9999993  .0009335  .0007694
T  391  1 .1996655E+07   7316705E-04 -.2568E+01  .2290E+00   .9999888 -.0047015  .0005225
T  392  1 .1997067E+07   7318855E-04  .2483E+00 -.8126E+00   .9999997 -.0000085 -.0007634
T  393  1 .1997554E+07   7320319E-04 -.4251E+00 -.3632E+00   .9999986 -.0016015 -.0004171
T  394  1 .1995958E+07   7312087E-04 -.5782E+00 -.2608E+00   .9999991 -.0012334 -.0004581
T  395  1 .1996200E+07   7326644E-04 -.1461E+00  .4925E+00   .9999992 -.0004249  .0011546
T  396  1 .1996603E+07   7313449E-04  .6855E+00 -.2626E+00   .9999982  .0013638 -.0012964
T  397  1 .1998220E+07   7326053E-04 -.9124E+00 -.4590E+00   .9999971 -.0013815 -.0019963
T  398  1 .1998033E+07   7314724E-04 -.1099E+01 -.1089E+00   .9999987 -.0016065 -.0001500
T  399  1 .1997373E+07   7312474E-04 -.1146E+01 -.3597E+01   .9999653 -.0020667 -.0080733
T  400  1 .1998359E+07   7304744E-04  .8947E+00 -.1833E+01   .9999943  .0017232 -.0029069
T  401  1 .1995693E+07   7322635E-04 -.1652E+01  .5034E+00   .9999936 -.0033996  .0010702
T  402  1 .1996824E+07   7300212E-04 -.3370E+00 -.3919E+01   .9999727  .0001646 -.0073818
T  403  1 .1997115E+07   7309770E-04  .4194E+00 -.4129E+00   .9999998  .0003319 -.0004919
T  404  1 .1998030E+07   7324796E-04 -.2619E+01 -.1611E+01   .9999795 -.0057652 -.0027947
T  405  1 .1997180E+07   7303574E-04 -.7135E+00  .1073E+01   .9999954 -.0017675  .0024525
T  406  1 .1997928E+07   7325633E-04 -.1280E+01  .3674E+00   .9999971 -.0023732  .0002756
T  407  1 .1996437E+07   7316316E-04 -.2360E+01  .1422E+01   .9999558 -.0069862  .0062870
T  408  1 .1995920E+07   7325421E-04  .7348E+00  .2860E+01   .9999857  .0011040  .0052330
T  409  1 .1998689E+07   7326853E-04  .1599E+01  .3227E+00   .9999965  .0026130 -.0002703
T  410  1 .1996658E+07   7322164E-04  .2281E+01  .5202E+01   .9999480  .0042356  .0092728
T  411  1 .1997625E+07   7323985E-04  .5733E+00  .9530E-01   .9999999  .0002836  .0002661
T  412  1 .1996326E+07   7302043E-04 -.4435E+01  .4235E+01   .9999345 -.0076016  .0085567
T  413  1 .1997085E+07   7323037E-04  .1749E+00  .6100E+00   .9999994 -.0002451  .0011045
T  414  1 .1998246E+07   7314205E-04 -.8076E+00 -.5203E+00   .9999955 -.0014412 -.0026228
T  415  1 .1997404E+07   7320513E-04 -.9788E+00  .6263E+00   .9999956 -.0024421  .0016754
T  416  1 .1997208E+07   7321205E-04  .1085E+01  .4158E+00   .9999981  .0019057  .0004625
T  417  1 .1997060E+07   7316358E-04 -.5605E+00 -.3528E+00   .9999981 -.0018273 -.0006511
T  418  1 .1996894E+07   7318441E-04  .1575E+00  .1121E+01   .9999984 -.0003422  .0017688
T  419  1 .1996547E+07   7325496E-04  .5469E+00  .2033E+01   .9999941  .0007083  .0033520
T  420  1 .1997877E+07   7320621E-04 -.1303E+01 -.1279E+01   .9999810 -.0058327  .0020159
T  421  1 .1996260E+07   7306675E-04  .9641E-01 -.1775E+00   .9999999  .0000141 -.0004499
T  422  1 .1998530E+07   7300246E-04  .6375E+00  .3989E+00   .9999979  .0017712  .0010010
T  423  1 .1998513E+07   7300126E-04  .6104E+00 -.6146E+00   .9999980  .0016951 -.0010179
T  424  1 .1997417E+07   7314340E-04 -.6581E+00 -.7660E+00   .9999982 -.0006920 -.0017440
T  425  1 .1996633E+07   7324728E-04 -.1242E+01 -.3007E+00   .9999983 -.0017681 -.0006065
T  426  1 .1998033E+07   7324856E-04  .1727E+01 -.3263E+00   .9999962  .0023829 -.0014029
T  427  1 .1996796E+07   7310818E-04 -.6089E-01 -.3663E+00   .9999989 -.0004763 -.0014387
T  428  1 .1996484E+07   7315904E-04 -.2613E+00 -.1176E+01   .9999979  .0005771 -.0019712
T  429  1 .1996514E+07   7321908E-04 -.6594E-01  .6385E+00   .9999999 -.0001676 -.0002442
T  430  1 .1997699E+07   7316880E-04 -.6102E+00 -.6493E-01   .9999987 -.0015435 -.0003523
T  431  1 .1997211E+07   7303884E-04 -.5973E+00 -.1009E-01   .9999995 -.0005445  .0008820
T  432  1 .1997491E+07   7325274E-04 -.6477E-01 -.1417E+01   .9999977  .0014759 -.0015443
T  433  1 .1997510E+07   7311201E-04  .1129E+01 -.1164E+01   .9999910  .0001284 -.0042426
T  434  1 .1998706E+07   7323201E-04 -.4814E+00  .5461E+00   .9999981 -.0019426 -.0000229
T  435  1 .1997565E+07   7318361E-04 -.4666E+00 -.1103E+01   .9999981 -.0004389 -.0018982
T  436  1 .1996343E+07   7303282E-04 -.9674E+00 -.5640E+00   .9999931 -.0025555 -.0026952
T  437  1 .1995976E+07   7306330E-04 -.2273E+00  .5697E+00   .9999977  .0021031 -.0003121
T  438  1 .1995968E+07   7305681E-04  .3121E+00  .3722E+00   .9999990  .0011350  .0008007
T  439  1 .1996849E+07   7325873E-04  .2017E+01  .8573E+00   .9999932  .0035516  .0010318
T  440  1 .1997813E+07   7306726E-04 -.9603E+00  .6738E+00   .9999955 -.0029993  .0001504
T  441  1 .1998094E+07   7303014E-04 -.2673E+00 -.1095E+00   .9999999 -.0001880  .0004874
T  442  1 .1996601E+07   7322977E-04  .1462E+00 -.4093E+00   .9999887  .0046164 -.0011305
T  443  1 .1997050E+07   7301099E-04  .9264E+00 -.1322E+01   .9999972  .0015114 -.0018340
T  444  1 .1997541E+07   7304792E-04  .6659E+00 -.7722E+00   .9999988  .0014764 -.0004562
T  445  1 .1996997E+07   7324739E-04 -.4810E+00 -.4347E+00   .9999994 -.0007244 -.0007957
T  446  1 .1998133E+07   7319584E-04  .4997E+00 -.4665E+00   .9999959  .0005958 -.0027969
T  447  1 .1997414E+07   7323733E-04  .1503E+00 -.3685E+00   .9999999  .0002944 -.0002862
T  448  1 .1997600E+07   7318397E-04 -.1800E+01 -.4638E+00   .9999965 -.0025872 -.0006219
T  449  1 .1995812E+07   7305328E-04 -.4473E-01  .3102E+00   .9999986 -.0002452  .0016271
T  450  1 .1996987E+07   7311308E-04  .6908E+01  .9891E+01   .9997974  .0113670  .0166093
T  451  1 .1996593E+07   7318284E-04  .8054E-01  .9033E-01   .9999998  .0005537  .0000885
T  452  1 .1997876E+07   7301618E-04 -.8214E+00  .5224E+00   .9999975 -.0017746  .0013413
T  453  1 .1998066E+07   7309306E-04  .7839E-01 -.5297E+00   .9999959  .0024740 -.0014606
T  454  1 .1997493E+07   7301721E-04 -.4678E+00 -.1710E+00   .9999998 -.0000882 -.0005432
T  455  1 .1997075E+07   7300433E-04 -.1646E+01  .2418E+00   .9999863 -.0052227  .0001925
T  456  1 .1995653E+07   7301136E-04 -.2207E+00  .1713E+01   .9999935 -.0005154  .0035681
T  457  1 .1998081E+07   7325686E-04  .5862E+00 -.6487E+00   .9999941 -.0001452 -.0034193
T  458  1 .1997153E+07   7326543E-04  .1933E+00  .2284E+01   .9999881  .0008402  .0048062
T  459  1 .1998636E+07   7303411E-04 -.7636E+00  .1196E+00   .9999995 -.0006070  .0008306
T  460  1 .1996604E+07   7300149E-04  .1349E+01 -.1170E+01   .9999937  .0029684 -.0019455
T  461  1 .1996635E+07   7304947E-04 -.8367E+00 -.7394E+00   .9999983 -.0014009 -.0011833
T  462  1 .1997863E+07   7304591E-04  .2151E+01  .1857E+01   .9999936  .0023143  .0027221
T  463  1 .1998261E+07   7318385E-04 -.7819E-01  .1585E+01   .9999660 -.0082249  .0006177
T  464  1 .1996946E+07   7310502E-04 -.9072E-01  .6723E+00   .9999965  .0010593  .0024430
T  465  1 .1997330E+07   7322141E-04  .9285E+00  .2428E-01   .9999675  .0068182 -.0043020
T  466  1 .1997164E+07   7314846E-04  .1487E+00  .1488E+01   .9999947  .0007233  .0031601
T  467  1 .1998446E+07   7311127E-04  .1030E+01 -.7865E+00   .9999977  .0018891 -.0010043
T  468  1 .1997443E+07   7326181E-04 -.2428E+01  .2496E+00   .9997624 -.0217968 -.0001485
T  469  1 .1997580E+07   7308633E-04 -.9819E+00  .5704E+00   .9999937 -.0035050  .0006225
T  470  1 .1997569E+07   7316987E-04  .3317E+01  .1936E+01   .9999779  .0059125  .0030297
T  471  1 .1998787E+07   7308141E-04 -.7677E+00 -.4284E+00   .9999992 -.0010346 -.0007754
T  472  1 .1997263E+07   7319096E-04 -.1217E+01  .7920E+00   .9999969 -.0020282  .0014532
T  473  1 .1997032E+07   7310449E-04 -.6644E-01 -.6020E+00   .9999995  .0005385 -.0008191
T  474  1 .1996823E+07   7312280E-04 -.1144E+00 -.6851E+00   .9999995 -.0001042 -.0009619
T  475  1 .1998292E+07   7322024E-04 -.1199E+01 -.1517E+01   .9999937 -.0026000 -.0024365
T  476  1 .1996420E+07   7316630E-04 -.8457E+00 -.7433E+00   .9999973 -.0016429 -.0016568
T  477  1 .1997192E+07   7307572E-04 -.4186E+00  .1029E+01   .9999967 -.0016819  .0019527
T  478  1 .1998372E+07   7318134E-04  .1688E+01  .7664E+00   .9999967  .0023394  .0010372
T  479  1 .1996856E+07   7315706E-04  .6834E-01  .5564E+00   .9999995  .0006203  .0007810
T  480  1 .1997174E+07   7304167E-04  .1313E+01 -.2279E+00   .9999982  .0018639  .0002490
T  481  1 .1997699E+07   7326601E-04  .3682E+00 -.4261E+00   .9999984  .0017611 -.0002899
T  482  1 .1996751E+07   7309187E-04 -.9240E+00  .6431E+00   .9999964 -.0026562  .0003754
T  483  1 .1996960E+07   7306394E-04  .5082E+00 -.8274E+00   .9999973  .0018052 -.0014481
T  484  1 .1996879E+07   7319586E-04 -.7784E+00  .9095E+00   .9999957 -.0026558  .0012238
T  485  1 .1996786E+07   7319469E-04  .4438E+01 -.2186E+01   .9999562  .0083332 -.0042544
T  486  1 .1997068E+07   7326081E-04 -.4593E+00 -.5838E+00   .9999985 -.0007085 -.0015804
T  487  1 .1996970E+07   7307161E-04  .6019E+00  .5924E+00   .9999987  .0011156  .0011619
