============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> DLC+Au+Cr+Silicon(  730 A) ==================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  1 .1998344E+07   7304010E-04  .2340E+00 -.2937E+00   .9999999 -.0000025  .0003876
T   55  1 .1997613E+07   7314196E-04  .3771E+01  .1140E+01   .9999646  .0080940  .0022933
T   56  1 .1997345E+07   7309720E-04  .2152E+01 -.1009E+01   .9999924  .0038098 -.0008447
T   57  1 .1997410E+07   7319443E-04  .3346E+02  .3239E+02   .9968077  .0575609  .0553276
T   58  1 .1995385E+07   7307336E-04  .1985E+00  .6734E-01   .9999999  .0001967 -.0002294
T   59  1 .1996693E+07   7318516E-04 -.3120E+01  .1974E+00   .9999889 -.0046555  .0007353
T   60  1 .1997716E+07   7313904E-04 -.1168E+01 -.3720E+00   .9999970 -.0023749 -.0005777
T   61  1 .1998130E+07   7307801E-04  .9413E+00  .1904E+01   .9999848  .0021396  .0050913
T   62  1 .1996847E+07   7326669E-04 -.3745E+02  .3198E+02   .9961581 -.0665855  .0568799
T   63  1 .1998532E+07   7306485E-04 -.1385E+01  .9128E-01   .9999933 -.0036625 -.0002287
T   64  1 .1997469E+07   7306108E-04  .7202E+00 -.4338E+00   .9999983  .0017107 -.0006337
T   65  1 .1996474E+07   7314888E-04 -.5243E+01 -.1679E+01   .9999581 -.0030184 -.0086427
T   66  1 .1996018E+07   7319683E-04 -.3267E+00  .2250E+00   .9999992 -.0011399  .0004617
T   67  1 .1997527E+07   7308531E-04 -.8242E+00 -.4960E+00   .9999973 -.0020465 -.0011310
T   68  1 .1995863E+07   7302826E-04 -.9824E+00  .1196E+01   .9999900 -.0026284  .0036294
T   69  1 .1998018E+07   7327109E-04 -.6203E+00 -.1042E+01   .9999972 -.0016217 -.0017243
T   70  1 .1997820E+07   7311842E-04 -.3975E+00 -.2717E+00   .9999998 -.0002228 -.0005606
T   71  1 .1998169E+07   7302383E-04 -.4948E-01  .8031E+00   .9999980 -.0002062  .0019951
T   72  1 .1995633E+07   7301764E-04 -.4500E+00  .1072E+00   .9999985 -.0016132 -.0005942
T   73  1 .1997769E+07   7316249E-04  .6330E-01 -.3288E+00   .9999997  .0002818 -.0007430
T   74  1 .1995843E+07   7301360E-04  .8244E+00 -.9018E+00   .9999970  .0011324 -.0021933
T   75  1 .1997198E+07   7300119E-04  .1467E+01  .3635E+00   .9999865  .0048215  .0019319
T   76  1 .1997701E+07   7324981E-04 -.4242E+00  .4639E+00   .9999995 -.0007378  .0006095
T   77  1 .1999302E+07   7314842E-04 -.6210E+00  .5046E+00   .9999974 -.0008052  .0021286
T   78  1 .1996578E+07   7305537E-04 -.2843E+01  .7828E+00   .9999850 -.0052863  .0014280
T   79  1 .1996482E+07   7319789E-04  .2999E+00  .6770E+00   .9999992  .0008327  .0009808
T   80  1 .1996775E+07   7323524E-04  .2823E+00  .5696E+00   .9999999  .0003869  .0000778
T   81  1 .1998442E+07   7308866E-04 -.5432E+00  .1147E+01   .9999976 -.0007759  .0020416
T   82  1 .1997131E+07   7310709E-04  .1066E+02  .3275E+01   .9998522  .0165966  .0044849
T   83  1 .1997459E+07   7306113E-04 -.7067E+01  .1155E+01   .9998954 -.0139827  .0037026
T   84  1 .1997000E+07   7322684E-04 -.1093E+01  .4161E+00   .9999967 -.0025513 -.0002427
T   85  1 .1998144E+07   7310746E-04 -.1111E+01 -.1130E+01   .9999936 -.0024016 -.0026368
T   86  1 .1996335E+07   7310683E-04  .5441E+00 -.5888E+00   .9999994  .0005718 -.0009284
T   87  1 .1997296E+07   7313537E-04  .1711E+01  .4536E-01   .9999953  .0030319 -.0003501
T   88  1 .1997317E+07   7308285E-04  .1151E+01 -.2158E+00   .9999967  .0025871 -.0000049
T   89  1 .1996697E+07   7311676E-04 -.1525E+01 -.1095E+01   .9999957 -.0023452 -.0017674
T   90  1 .1997532E+07   7306143E-04  .1082E+01 -.4948E+00   .9999981  .0016672 -.0010508
T   91  1 .1996620E+07   7317269E-04 -.3415E+01  .2680E+01   .9999584 -.0066801  .0062059
T   92  1 .1997849E+07   7326176E-04 -.3296E+00 -.3217E+00   .9999998 -.0006138 -.0001739
T   93  1 .1998384E+07   7323181E-04  .6274E+00 -.1601E+01   .9999935  .0017996 -.0031252
T   94  1 .1995932E+07   7311845E-04  .2432E+00  .9511E+00   .9999971  .0001011  .0024098
T   95  1 .1996801E+07   7323423E-04  .2790E+01  .3029E+01   .9999748  .0050907  .0049513
T   96  1 .1996501E+07   7305423E-04 -.3387E+00  .1440E+01   .9999950 -.0019140  .0025163
T   97  1 .1997294E+07   7317808E-04  .7186E+00  .8252E+00   .9999980  .0007870  .0018414
T   98  1 .1997963E+07   7309132E-04  .5267E+00 -.9311E+00   .9999979  .0003772 -.0020020
T   99  1 .1998532E+07   7315646E-04 -.9970E+00  .1618E+01   .9999900 -.0022088  .0038860
T  100  1 .1996846E+07   7320030E-04 -.6155E+00  .4517E+00   .9999995  .0003124 -.0009244
T  101  1 .1997509E+07   7300552E-04  .4604E+00 -.6005E-02   .9999975  .0006838  .0021148
T  102  1 .1996710E+07   7319580E-04  .5447E+00 -.3308E+00   .9999967  .0021178 -.0014293
T  103  1 .1997811E+07   7321303E-04 -.5396E+01  .4767E+00   .9999490 -.0097750  .0025306
T  104  1 .1996997E+07   7319284E-04 -.1145E+01  .1712E+01   .9999632 -.0042232  .0074713
T  105  1 .1997712E+07   7325464E-04  .2627E+00 -.1121E+01   .9999933  .0014963 -.0033440
T  106  1 .1997539E+07   7314149E-04 -.2634E+01 -.1335E+01   .9999826 -.0050362 -.0030621
T  107  1 .1997848E+07   7323850E-04  .5934E+00  .3907E-01   .9999999  .0000983  .0003232
T  108  1 .1996694E+07   7313186E-04  .7810E+00 -.4113E+00   .9999910  .0034916  .0024114
T  109  1 .1998591E+07   7313595E-04 -.1071E+01 -.5729E+00   .9999980 -.0015072 -.0012820
T  110  1 .1997474E+07   7321286E-04 -.3876E+00 -.1595E+01   .9999963 -.0000274 -.0027345
T  111  1 .1996135E+07   7304058E-04 -.1608E+01 -.7964E+00   .9999946 -.0030434 -.0012238
T  112  1 .1997941E+07   7307717E-04 -.1037E+00  .1929E+00   .9999991  .0013423  .0002239
T  113  1 .1997135E+07   7315694E-04 -.2761E+01 -.3155E+01   .9999868 -.0029803 -.0041929
T  114  1 .1997978E+07   7319120E-04  .1482E+01 -.2192E+00   .9999986  .0016380  .0003117
T  115  1 .1996317E+07   7317264E-04 -.1858E+00  .5907E+00   .9999965  .0015925  .0021113
T  116  1 .1997986E+07   7326856E-04 -.2920E+00 -.6153E+00   .9999994 -.0005593 -.0009071
T  117  1 .1997042E+07   7314076E-04 -.8303E+00  .2882E+01   .9999887 -.0006138  .0047035
T  118  1 .1998211E+07   7325437E-04 -.4978E+00 -.2812E+00   .9999961 -.0011598 -.0025491
T  119  1 .1996351E+07   7314093E-04 -.8960E-02  .1113E+00   .9999999 -.0000081  .0000267
T  120  1 .1997279E+07   7325873E-04  .3681E+01 -.7100E+00   .9999748  .0069865 -.0012239
T  121  1 .1996925E+07   7309629E-04 -.1977E+00  .4933E+00   .9999995 -.0008756  .0004501
T  122  1 .1998068E+07   7300461E-04  .9771E+00  .4196E+00   .9999973  .0023091  .0000398
T  123  1 .1997556E+07   7309372E-04 -.1527E+00 -.1315E+01   .9999986  .0008105 -.0014904
T  124  1 .1998935E+07   7307116E-04 -.2083E+01  .2131E+02   .9993452 -.0034128  .0360216
T  125  1 .1998291E+07   7300340E-04 -.1808E+01  .5338E+00   .9999925 -.0033582  .0019211
T  126  1 .1997744E+07   7308514E-04 -.7389E+00  .8132E+00   .9999994 -.0007527  .0007492
T  127  1 .1997375E+07   7304841E-04 -.3706E+01 -.2574E+01   .9999564 -.0075212 -.0055419
T  128  1 .1996099E+07   7322355E-04  .1922E+01  .1760E+01   .9999910  .0031029  .0029038
